Season,League,Champion,MVP,MVP Age,MVP Team,MVP Country,ROTY,ROTY Age,ROTY Team,ROTY Country,Points Leader,Points,Pts Age,Pts Team,Pts Country,Rebounds Leader,Rebounds,Rb Age,Rb Team,Rb Country,Assists Leader,Assists,Ast Age,Ast Team,Ast Country,Win Shares Leader,Win Shares,WS Age,WS Team,WS Country
2019-20,NBA,Los Angeles Lakers,G. Antetokounmpo,26.0,Milwaukee Bucks,Greece,J. Morant,21.0,Memphis Grizzlies,United States,J. Harden,2335,31,Houston Rockets,United States,R. Gobert,916.0,28.0,Utah Jazz,France,L. James,684,36,Los Angeles Lakers,United States,J. Harden,13.0,31,Houston Rockets,United States
2018-19,NBA,Toronto Raptors,G. Antetokounmpo,25.0,Milwaukee Bucks,Greece,L. Dončić,20.0,Dallas Mavericks,Slovenia,J. Harden,2818,30,Houston Rockets,United States,A. Drummond,1232.0,26.0,Detroit Pistons,United States,R. Westbrook,784,31,Oklahoma City Thunder,United States,J. Harden,15.0,30,Houston Rockets,United States
2017-18,NBA,Golden State Warriors,J. Harden,29.0,Houston Rockets,United States,B. Simmons,22.0,Philadelphia 76ers,Australia,L. James,2251,34,Cleveland Cavaliers,United States,A. Drummond,1247.0,25.0,Detroit Pistons,United States,R. Westbrook,820,30,Oklahoma City Thunder,United States,J. Harden,15.0,29,Houston Rockets,United States
2016-17,NBA,Golden State Warriors,R. Westbrook,29.0,Oklahoma City Thunder,United States,M. Brogdon,25.0,Milwaukee Bucks,United States,R. Westbrook,2558,29,Oklahoma City Thunder,United States,A. Drummond,1115.0,24.0,Detroit Pistons,United States,J. Harden,907,28,Houston Rockets,United States,J. Harden,15.0,28,Houston Rockets,United States
2015-16,NBA,Cleveland Cavaliers,S. Curry,28.0,Golden State Warriors,United States,K. Towns,21.0,Minnesota Timberwolves,United States,J. Harden,2376,27,Houston Rockets,United States,A. Drummond,1198.0,23.0,Detroit Pistons,United States,R. Rondo,839,30,Sacramento Kings,United States,S. Curry,17.0,28,Golden State Warriors,United States
2014-15,NBA,Golden State Warriors,S. Curry,27.0,Golden State Warriors,United States,A. Wiggins,20.0,Minnesota Timberwolves,Canada,J. Harden,2217,26,Houston Rockets,United States,D. Jordan,1226.0,27.0,Los Angeles Clippers,United States,C. Paul,838,30,Los Angeles Clippers,United States,J. Harden,16.0,26,Houston Rockets,United States
2013-14,NBA,San Antonio Spurs,K. Durant,26.0,Oklahoma City Thunder,United States,M. Carter-Williams,23.0,Philadelphia 76ers,United States,K. Durant,2593,26,Oklahoma City Thunder,United States,D. Jordan,1114.0,26.0,Los Angeles Clippers,United States,J. Wall,721,24,Washington Wizards,United States,K. Durant,19.0,26,Oklahoma City Thunder,United States
2012-13,NBA,Miami Heat,L. James,29.0,Miami Heat,United States,D. Lillard,23.0,Portland Trail Blazers,United States,K. Durant,2280,25,Oklahoma City Thunder,United States,Ö. Aşık,956.0,27.0,Houston Rockets,Turkey,G. Vásquez,704,26,New Orleans Hornets,Venezuela,L. James,19.0,29,Miami Heat,United States
2011-12,NBA,Miami Heat,L. James,28.0,Miami Heat,United States,K. Irving,20.0,Cleveland Cavaliers,Australia,K. Durant,1850,24,Oklahoma City Thunder,United States,D. Howard,785.0,27.0,Orlando Magic,United States,S. Nash,664,38,Phoenix Suns,South Africa,L. James,14.0,28,Miami Heat,United States
2010-11,NBA,Dallas Mavericks,D. Rose,23.0,Chicago Bulls,United States,B. Griffin,22.0,Los Angeles Clippers,United States,K. Durant,2161,23,Oklahoma City Thunder,United States,K. Love,1112.0,23.0,Minnesota Timberwolves,United States,S. Nash,855,37,Phoenix Suns,South Africa,L. James,15.0,27,Miami Heat,United States
