Season,League,Champion,MVP,MVP Age,MVP Team,MVP Country,ROTY,ROTY Age,ROTY Team,ROTY Country,Points Leader,Points,Pts Age,Pts Team,Pts Country,Rebounds Leader,Rebounds,Rb Age,Rb Team,Rb Country,Assists Leader,Assists,Ast Age,Ast Team,Ast Country,Win Shares Leader,Win Shares,WS Age,WS Team,WS Country
2019-20,NBA,Los Angeles Lakers,G. Antetokounmpo,26.0,MIL,Greece,J. Morant,21.0,MEM,United States,J. Harden,2335,31,OKC,United States,R. Gobert,916.0,28.0,UTA,France,L. James,684,36,CLE,United States,J. Harden,13.0,31,OKC,United States
2018-19,NBA,Toronto Raptors,G. Antetokounmpo,25.0,MIL,Greece,L. Dončić,20.0,DAL,Slovenia,J. Harden,2818,30,OKC,United States,A. Drummond,1232.0,26.0,DET,United States,R. Westbrook,784,31,OKC,United States,J. Harden,15.0,30,OKC,United States
2017-18,NBA,Golden State Warriors,J. Harden,29.0,OKC,United States,B. Simmons,22.0,PHI,Australia,L. James,2251,34,CLE,United States,A. Drummond,1247.0,25.0,DET,United States,R. Westbrook,820,30,OKC,United States,J. Harden,15.0,29,OKC,United States
2016-17,NBA,Golden State Warriors,R. Westbrook,29.0,OKC,United States,M. Brogdon,25.0,MIL,United States,R. Westbrook,2558,29,OKC,United States,A. Drummond,1115.0,24.0,DET,United States,J. Harden,907,28,OKC,United States,J. Harden,15.0,28,OKC,United States
2015-16,NBA,Cleveland Cavaliers,S. Curry,28.0,GSW,United States,K. Towns,21.0,MIN,United States,J. Harden,2376,27,OKC,United States,A. Drummond,1198.0,23.0,DET,United States,R. Rondo,839,30,BOS,United States,S. Curry,17.0,28,GSW,United States
2014-15,NBA,Golden State Warriors,S. Curry,27.0,GSW,United States,A. Wiggins,20.0,MIN,Canada,J. Harden,2217,26,OKC,United States,D. Jordan,1226.0,27.0,LAC,United States,C. Paul,838,30,NOK,United States,J. Harden,16.0,26,OKC,United States
2013-14,NBA,San Antonio Spurs,K. Durant,26.0,SEA,United States,M. Carter-Williams,23.0,PHI,United States,K. Durant,2593,26,SEA,United States,D. Jordan,1114.0,26.0,LAC,United States,J. Wall,721,24,WAS,United States,K. Durant,19.0,26,SEA,United States
2012-13,NBA,Miami Heat,L. James,29.0,CLE,United States,D. Lillard,23.0,POR,United States,K. Durant,2280,25,SEA,United States,Ö. Aşık,956.0,27.0,CHI,Turkey,G. Vásquez,704,26,MEM,Venezuela,L. James,19.0,29,CLE,United States
2011-12,NBA,Miami Heat,L. James,28.0,CLE,United States,K. Irving,20.0,CLE,Australia,K. Durant,1850,24,SEA,United States,D. Howard,785.0,27.0,ORL,United States,S. Nash,664,38,PHO,South Africa,L. James,14.0,28,CLE,United States
2010-11,NBA,Dallas Mavericks,D. Rose,23.0,CHI,United States,B. Griffin,22.0,LAC,United States,K. Durant,2161,23,SEA,United States,K. Love,1112.0,23.0,MIN,United States,S. Nash,855,37,PHO,South Africa,L. James,15.0,27,CLE,United States
2009-10,NBA,Los Angeles Lakers,L. James,26.0,CLE,United States,T. Evans,21.0,SAC,United States,K. Durant,2472,22,SEA,United States,D. Howard,1082.0,25.0,ORL,United States,S. Nash,892,36,PHO,South Africa,L. James,18.0,26,CLE,United States
2008-09,NBA,Los Angeles Lakers,L. James,25.0,CLE,United States,D. Rose,21.0,CHI,United States,D. Wade,2386,27,MIA,United States,D. Howard,1093.0,24.0,ORL,United States,C. Paul,861,24,NOK,United States,L. James,20.0,25,CLE,United States
2007-08,NBA,Boston Celtics,K. Bryant,30.0,LAL,United States,K. Durant,20.0,SEA,United States,K. Bryant,2323,30,LAL,United States,D. Howard,1161.0,23.0,ORL,United States,C. Paul,925,23,NOK,United States,C. Paul,17.0,23,NOK,United States
2006-07,NBA,San Antonio Spurs,D. Nowitzki,29.0,DAL,Germany,B. Roy,23.0,POR,United States,K. Bryant,2430,29,LAL,United States,D. Howard,1008.0,22.0,ORL,United States,S. Nash,884,33,PHO,South Africa,D. Nowitzki,16.0,29,DAL,Germany
2005-06,NBA,Miami Heat,S. Nash,32.0,PHO,South Africa,C. Paul,21.0,NOK,United States,K. Bryant,2832,28,LAL,United States,D. Howard,1022.0,21.0,ORL,United States,S. Nash,826,32,PHO,South Africa,D. Nowitzki,17.0,28,DAL,Germany
2004-05,NBA,San Antonio Spurs,S. Nash,31.0,PHO,South Africa,E. Okafor,23.0,CHA,United States,A. Iverson,2302,30,PHI,United States,K. Garnett,1108.0,29.0,MIN,United States,S. Nash,861,31,PHO,South Africa,K. Garnett,16.0,29,MIN,United States
2003-04,NBA,Detroit Pistons,K. Garnett,28.0,MIN,United States,L. James,20.0,CLE,United States,K. Garnett,1987,28,MIN,United States,K. Garnett,1139.0,28.0,MIN,United States,S. Marbury,719,27,MIN,United States,K. Garnett,18.0,28,MIN,United States
2002-03,NBA,San Antonio Spurs,T. Duncan,27.0,SAS,U.S. Virgin Islands,A. Stoudemire,21.0,PHO,United States,K. Bryant,2461,25,LAL,United States,B. Wallace,1126.0,29.0,WSB,United States,J. Kidd,711,30,DAL,United States,T. Duncan,16.0,27,SAS,U.S. Virgin Islands
2001-02,NBA,Los Angeles Lakers,T. Duncan,26.0,SAS,U.S. Virgin Islands,P. Gasol,22.0,MEM,Spain,P. Pierce,2144,25,BOS,United States,T. Duncan,1042.0,26.0,SAS,U.S. Virgin Islands,A. Miller,882,26,CLE,United States,T. Duncan,17.0,26,SAS,U.S. Virgin Islands
2000-01,NBA,Los Angeles Lakers,A. Iverson,26.0,PHI,United States,M. Miller,21.0,ORL,United States,J. Stackhouse,2380,27,PHI,United States,B. Wallace,1052.0,27.0,WSB,United States,J. Kidd,753,28,DAL,United States,S. O'Neal,14.0,29,ORL,United States
1999-00,NBA,Los Angeles Lakers,S. O'Neal,-72.0,ORL,United States,"E. Brand, S. Francis",-79.0,CHI,United States,S. O'Neal,2344,-72,ORL,United States,D. Mutombo,1157.0,-66.0,DEN,Democratic Republic of the Congo,G. Payton,732,-68,SEA,United States,S. O'Neal,18.0,-72,ORL,United States
1998-99,NBA,San Antonio Spurs,K. Malone,36.0,UTA,United States,V. Carter,22.0,TOR,United States,S. O'Neal,1289,27,ORL,United States,D. Mutombo,610.0,33.0,DEN,Democratic Republic of the Congo,J. Kidd,539,26,DAL,United States,K. Malone,9.0,36,UTA,United States
1997-98,NBA,Chicago Bulls,M. Jordan,35.0,CHI,United States,T. Duncan,22.0,SAS,U.S. Virgin Islands,M. Jordan,2357,35,CHI,United States,D. Rodman,1201.0,37.0,DET,United States,R. Strickland,801,32,NYK,United States,K. Malone,16.0,35,UTA,United States
1996-97,NBA,Chicago Bulls,K. Malone,34.0,UTA,United States,A. Iverson,22.0,PHI,United States,M. Jordan,2431,34,CHI,United States,D. Mutombo,929.0,31.0,DEN,Democratic Republic of the Congo,M. Jackson,935,32,NYK,United States,M. Jordan,18.0,34,CHI,United States
1995-96,NBA,Chicago Bulls,M. Jordan,33.0,CHI,United States,D. Stoudamire,23.0,TOR,United States,M. Jordan,2491,33,CHI,United States,D. Robinson,1000.0,31.0,SAS,United States,J. Stockton,916,34,UTA,United States,M. Jordan,20.0,33,CHI,United States
1994-95,NBA,Houston Rockets,D. Robinson,30.0,SAS,United States,"G. Hill, J. Kidd",23.0,DET,United States,S. O'Neal,2315,23,ORL,United States,D. Mutombo,1029.0,29.0,DEN,Democratic Republic of the Congo,J. Stockton,1011,33,UTA,United States,D. Robinson,17.0,30,SAS,United States
1993-94,NBA,Houston Rockets,H. Olajuwon,31.0,HOU,Nigeria,C. Webber,21.0,GSW,United States,D. Robinson,2383,29,SAS,United States,D. Rodman,1367.0,33.0,DET,United States,J. Stockton,1031,32,UTA,United States,D. Robinson,20.0,29,SAS,United States
1992-93,NBA,Chicago Bulls,C. Barkley,30.0,PHI,United States,S. O'Neal,21.0,ORL,United States,M. Jordan,2541,30,CHI,United States,D. Rodman,1132.0,32.0,DET,United States,J. Stockton,987,31,UTA,United States,M. Jordan,17.0,30,CHI,United States
1991-92,NBA,Chicago Bulls,M. Jordan,29.0,CHI,United States,L. Johnson,23.0,CHH,United States,M. Jordan,2404,29,CHI,United States,D. Rodman,1530.0,31.0,DET,United States,J. Stockton,1126,30,UTA,United States,M. Jordan,17.0,29,CHI,United States
1990-91,NBA,Chicago Bulls,M. Jordan,28.0,CHI,United States,D. Coleman,24.0,NJN,United States,M. Jordan,2580,28,CHI,United States,D. Robinson,1063.0,26.0,SAS,United States,J. Stockton,1164,29,UTA,United States,M. Jordan,20.0,28,CHI,United States
1989-90,NBA,Detroit Pistons,M. Johnson,31.0,LAL,United States,D. Robinson,25.0,SAS,United States,M. Jordan,2753,27,CHI,United States,H. Olajuwon,1149.0,27.0,HOU,Nigeria,J. Stockton,1134,28,UTA,United States,M. Jordan,19.0,27,CHI,United States
1988-89,NBA,Detroit Pistons,M. Johnson,30.0,LAL,United States,M. Richmond,24.0,GSW,United States,M. Jordan,2633,26,CHI,United States,H. Olajuwon,1105.0,26.0,HOU,Nigeria,J. Stockton,1118,27,UTA,United States,M. Jordan,19.0,26,CHI,United States
1987-88,NBA,Los Angeles Lakers,M. Jordan,25.0,CHI,United States,M. Jackson,23.0,NYK,United States,M. Jordan,2868,25,CHI,United States,C. Oakley,1066.0,25.0,CHI,United States,J. Stockton,1128,26,UTA,United States,M. Jordan,21.0,25,CHI,United States
1986-87,NBA,Los Angeles Lakers,M. Johnson,28.0,LAL,United States,C. Person,23.0,IND,United States,M. Jordan,3041,24,CHI,United States,C. Oakley,1074.0,24.0,CHI,United States,M. Johnson,977,28,LAL,United States,M. Jordan,16.0,24,CHI,United States
1985-86,NBA,Boston Celtics,L. Bird,30.0,BOS,United States,P. Ewing,24.0,NYK,Jamaica,A. English,2414,32,MIL,United States,B. Laimbeer,1075.0,29.0,CLE,United States,M. Johnson,907,27,LAL,United States,L. Bird,15.0,30,BOS,United States
